job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=8ac2459b9aa19940&fccid=deef515a6183c017&vjs=3,Senior Python Developer,Fusion Genius,"Alameda, CA",Not available,Not available,Not available,"Must have hands on experience on AWS Extensive experience in , and Spark is mandatory.,Needs to work closely with customer project manager.",Python Developer,California
https://www.indeed.com/rc/clk?jk=1de0bb752c6b22c4&fccid=1582c3f35b1b3040&vjs=3,Python Software Engineer,Astra,"Alameda, CA",170000,Full-time,3.7,"As a vertically integrated rocket company, every decision we make is data driven from CAD designs to the launch of a rocket, we look for patterns and…",Python Developer,California
https://www.indeed.com/rc/clk?jk=76cd0fe57f357f9c&fccid=f89deb5a97c7738a&vjs=3,Software Development Engineer,Adobe,"San Jose, CA 95110",210700,Full-time,4.3,"You will deliver critical services to be used by a variety of clients, enabling flexible and highly scalable subscription workflows.",Python Developer,California
https://www.indeed.com/rc/clk?jk=26ec81a85b1d366e&fccid=96f1e6b495445cf4&vjs=3,Python developer,Metamins,"Burlingame, CA 94010",Not available,Full-time,Not available,"Experience reviewing and improving other developers’ code.,Metamins is looking for an experienced , , with good knowledge of Django framework to…",Python Developer,California
https://www.indeed.com/company/Property-Matrix/jobs/Entry-Level-Software-Engineer-a693e23dc33880d6?fccid=fd1ea58cbd0e81fe&vjs=3,Entry Level Software Developer,Property Matrix,"Culver City, CA",62500,Full-time,4.8,"Experience in Java, web development, python.,Support other , by assisting in the implementation of new functionality.",Python Developer,California
https://www.indeed.com/rc/clk?jk=130d05693a3cd898&fccid=f2ab4689def17626&vjs=3,"Senior Software Engineer, Communities",Discord,"Remote in San Francisco, CA 94107",Not available,Full-time,4.3,"Pair with engineers on your team to write, review, and ship elegant, scalable, and high quality code.,Collaborate with product managers, designers, data…",Python Developer,California
https://www.indeed.com/rc/clk?jk=ee1af7f733f6b0a4&fccid=b5851ec45fc1eea9&vjs=3,Python Lead Developer,SYSTECH,"Glendale, CA 91203",Not available,Full-time,3.5,"Understand, analyze, and implement software requirements.,Understand technical requirements and develop the product.,Test and debug the applications.",Python Developer,California
https://www.indeed.com/rc/clk?jk=eeae93c2e655ee22&fccid=7024cfb624b4025e&vjs=3,Python Developer / Project Specialist (SF HQ),Boutique Air,"San Francisco, CA",Not available,Not available,3.1,"Make significant contributions to our , software projects so that on time completion of releases occurs.",Python Developer,California
https://www.indeed.com/rc/clk?jk=fc324a2ebed84b82&fccid=0d33eb8110cc8c07&vjs=3,PYTHON DEVELOPER – DJANGO/FLASK,SpanIdea Systems,"Milpitas, CA",Not available,Full-time,Not available,"Expert in ,, with knowledge of at least one , web framework such as Django, Flask, etc.,Familiarity with some ORM (Object Relational Mapper) libraries…",Python Developer,California
https://www.indeed.com/rc/clk?jk=caf9e125b0fb67af&fccid=8bc01be85b97ce0d&vjs=3,Software Engineer (Space Operations),SpaceX,"Hawthorne, CA 90250",132500,Weekend availability,3.7,"In your role, you will engage with SpaceX engineers, operators, and flight crews to better understand their needs in order to create solutions that anticipate…",Python Developer,California
https://www.indeed.com/rc/clk?jk=b8904053448f0d2c&fccid=67014df0f8d8ef3d&vjs=3,Full Stack Python Developer/Programmer/Engineer,Cotocus,"Sacramento, CA 95822",Not available,Not available,Not available,"Knowledge of general , syntax.,Developing front end and backend of ecommerce, dynamic website and deliver.,Designing user interactions on web pages.",Python Developer,California
https://www.indeed.com/rc/clk?jk=62cfbce4779bf9a7&fccid=412c40d11de97ca1&vjs=3,Software Engineer (Python),Locix,"San Bruno, CA",Not available,Not available,Not available,"4+ years of , development experience.,As a member of the Locix engineering team, you will play the crucial role of take new algorithm concepts from the R&D…",Python Developer,California
https://www.indeed.com/rc/clk?jk=0863674ea778a18b&fccid=702c7d72f9a9a730&vjs=3,Senior Python Developer,FriendFinder Networks,"San Jose, CA 95110",140000,Full-time,2.8,"FriendFinder Networks is looking for a Senior , , who will work with cross functional teams to design, develop, and test Python/Javascript code for…",Python Developer,California
